"","SPCD","State","PLOT","minAWS","geometry","Common","Species"
"1","68","NE",636,81.1966705322266,c(-98.700509, 42.801116),"eastern redcedar","Juniperus virginiana"
"2","122","NE",668,84.6600036621094,c(-100.794306, 41.046598),"ponderosa pine","Pinus ponderosa"
"3","313","NE",308,109.0625,c(-97.866526, 42.778804),"boxelder","Acer negundo"
"4","462","NE",257,104.199996948242,c(-99.8978361153846, 42.7390072937063),"hackberry","Celtis occidentalis"
"5","544","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"green ash","Fraxinus pennsylvanica"
"6","602","NE",254,129.494995117188,c(-98.9444739182692, 42.0656148365385),"black walnut","Juglans nigra"
"7","701","NE",1252,97.6600036621094,c(-100.489191, 42.877345),"ironwood","Ostrya virginiana"
"8","742","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"east. cottonwood","Populus deltoides"
"9","763","NE",617,129.615005493164,c(-102.006189674419, 41.7075945116279),"chokecherry","Prunus virginiana"
"10","766","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"American plum","Prunus americana"
"11","823","NE",636,81.1966705322266,c(-98.700509, 42.801116),"bur oak","Quercus macrocarpa"
"12","921","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"peachleaf willow","Salix amygdaloides"
"13","951","NE",254,129.494995117188,c(-98.9444739182692, 42.0656148365385),"basswood","Tilia americana"
"14","972","NE",226,84.6600036621094,c(-100.837653265957, 41.0528422234043),"American elm","Ulmus americana"
"15","972","NE",668,84.6600036621094,c(-100.794306, 41.046598),"American elm","Ulmus americana"
"16","975","NE",308,109.0625,c(-97.866526, 42.778804),"slippery elm","Ulmus rubra"
"17","68","WI",74,81.6800003051758,c(-90.8070363734177, 44.091755),"eastern redcedar","Juniperus virginiana"
"18","313","WI",466,67.9850006103516,c(-91.4535531526718, 44.8380482137405),"boxelder","Acer negundo"
"19","375","WI",247,60.4000015258789,c(-89.7538202372881, 45.7064051779661),"paper birch","Betula papyrifera"
"20","375","WI",421,60.4000015258789,c(-89.7497903461538, 45.6485090384615),"paper birch","Betula papyrifera"
"21","462","WI",320,77.7624969482422,c(-91.4329093546798, 44.7417042019704),"hackberry","Celtis occidentalis"
"22","544","WI",650,70.625,c(-91.942586440678, 46.1812258474576),"green ash","Fraxinus pennsylvanica"
"23","602","WI",466,67.9850006103516,c(-91.4535531526718, 44.8380482137405),"black walnut","Juglans nigra"
"24","701","WI",247,60.4000015258789,c(-89.7538202372881, 45.7064051779661),"ironwood","Ostrya virginiana"
"25","701","WI",421,60.4000015258789,c(-89.7497903461538, 45.6485090384615),"ironwood","Ostrya virginiana"
"26","742","WI",95,95.1150054931641,c(-88.141149686747, 43.7200259156627),"east. cottonwood","Populus deltoides"
"27","763","WI",247,60.4000015258789,c(-89.7538202372881, 45.7064051779661),"chokecherry","Prunus virginiana"
"28","766","WI",287,99.4499969482422,c(-91.6227643571429, 45.0515868839286),"American plum","Prunus americana"
"29","823","WI",210,60.4000015258789,c(-89.8927164, 45.869957),"bur oak","Quercus macrocarpa"
"30","823","WI",247,60.4000015258789,c(-89.7538202372881, 45.7064051779661),"bur oak","Quercus macrocarpa"
"31","920","WI",531,180.952499389648,c(-90.5422233333333, 45.6570755),"willow spp.","Salix spp."
"32","921","WI",122,133.205001831055,c(-88.8428021185185, 44.7994043185185),"peachleaf willow","Salix amygdaloides"
"33","951","WI",210,60.4000015258789,c(-89.8927164, 45.869957),"basswood","Tilia americana"
"34","951","WI",247,60.4000015258789,c(-89.7538202372881, 45.7064051779661),"basswood","Tilia americana"
"35","951","WI",421,60.4000015258789,c(-89.7497903461538, 45.6485090384615),"basswood","Tilia americana"
"36","972","WI",210,60.4000015258789,c(-89.8927164, 45.869957),"American elm","Ulmus americana"
"37","972","WI",247,60.4000015258789,c(-89.7538202372881, 45.7064051779661),"American elm","Ulmus americana"
"38","972","WI",421,60.4000015258789,c(-89.7497903461538, 45.6485090384615),"American elm","Ulmus americana"
"39","975","WI",466,67.9850006103516,c(-91.4535531526718, 44.8380482137405),"slippery elm","Ulmus rubra"
"40","68","MO",9148,13.0050001144409,c(-92.818046, 36.600269),"eastern redcedar","Juniperus virginiana"
"41","313","MO",225,65.5800018310547,c(-91.6126679936709, 37.9404843670886),"boxelder","Acer negundo"
"42","462","MO",225,65.5800018310547,c(-91.6126679936709, 37.9404843670886),"hackberry","Celtis occidentalis"
"43","544","MO",225,65.5800018310547,c(-91.6126679936709, 37.9404843670886),"green ash","Fraxinus pennsylvanica"
"44","602","MO",225,65.5800018310547,c(-91.6126679936709, 37.9404843670886),"black walnut","Juglans nigra"
"45","701","MO",225,65.5800018310547,c(-91.6126679936709, 37.9404843670886),"ironwood","Ostrya virginiana"
"46","742","MO",225,65.5800018310547,c(-91.6126679936709, 37.9404843670886),"east. cottonwood","Populus deltoides"
"47","763","MO",94,93.1875,c(-92.4686552848297, 38.1131921393189),"chokecherry","Prunus virginiana"
"48","766","MO",196,79.3199996948242,c(-93.34404588, 38.24311404),"American plum","Prunus americana"
"49","823","MO",120,70.2900009155273,c(-93.3388727790262, 37.9462053258427),"bur oak","Quercus macrocarpa"
"50","920","MO",72,186.009994506836,c(-92.3393633174157, 38.5277684044944),"willow spp.","Salix spp."
"51","921","MO",1,134.347503662109,c(-92.280633, 38.1732062040302),"peachleaf willow","Salix amygdaloides"
"52","951","MO",120,70.2900009155273,c(-93.3388727790262, 37.9462053258427),"basswood","Tilia americana"
"53","972","MO",225,65.5800018310547,c(-91.6126679936709, 37.9404843670886),"American elm","Ulmus americana"
"54","975","MO",225,65.5800018310547,c(-91.6126679936709, 37.9404843670886),"slippery elm","Ulmus rubra"
"55","68","SD",1291,68.5199966430664,c(-102.209982, 44.417105),"eastern redcedar","Juniperus virginiana"
"56","122","SD",459,57.4499969482422,c(-103.441147, 43.556183),"ponderosa pine","Pinus ponderosa"
"57","313","SD",1089,69.1474990844727,c(-101.328752, 45.243612),"boxelder","Acer negundo"
"58","375","SD",232,89.5975036621094,c(-103.863579, 44.336077),"paper birch","Betula papyrifera"
"59","602","SD",563,151.272491455078,c(-100.57795, 43.256186),"black walnut","Juglans nigra"
"60","701","SD",448,94.9375,c(-99.953238737037, 43.2705393444445),"ironwood","Ostrya virginiana"
"61","742","SD",650,58.2299995422363,c(-100.600169, 44.203809),"east. cottonwood","Populus deltoides"
"62","763","SD",434,98.75,c(-99.086973, 43.302834),"chokecherry","Prunus virginiana"
"63","766","SD",650,58.2299995422363,c(-100.600169, 44.203809),"American plum","Prunus americana"
"64","823","SD",10430,77.8199996948242,c(-104.05517, 44.474327),"bur oak","Quercus macrocarpa"
"65","920","SD",698,101.565002441406,c(-101.252407, 44.624882),"willow spp.","Salix spp."
"66","921","SD",638,125.455001831055,c(-99.41607, 43.795603),"peachleaf willow","Salix amygdaloides"
"67","951","SD",448,94.9375,c(-99.953238737037, 43.2705393444445),"basswood","Tilia americana"
"68","975","SD",464,179.462509155273,c(-99.16078, 43.349402),"slippery elm","Ulmus rubra"
"69","68","OH",6206,58.8766670227051,c(-82.715743, 41.604039),"eastern redcedar","Juniperus virginiana"
"70","375","OH",5510,129.414993286133,c(-81.43074, 40.935424),"paper birch","Betula papyrifera"
"71","701","OH",5782,83.7525024414062,c(-82.593011, 39.597932),"ironwood","Ostrya virginiana"
"72","766","OH",84,152.699996948242,c(-81.4241642727273, 40.764326469697),"American plum","Prunus americana"
"73","920","OH",6050,130.184997558594,c(-82.212693, 41.4123),"willow spp.","Salix spp."
"74","921","OH",58,222.367492675781,c(-83.6273275, 40.2659274204545),"peachleaf willow","Salix amygdaloides"
"75","68","ND",2303,167.619995117188,c(-102.710164, 47.591226),"eastern redcedar","Juniperus virginiana"
"76","122","ND",2249,205.642501831055,c(-103.504916647059, 46.5807658088235),"ponderosa pine","Pinus ponderosa"
"77","313","ND",520,138.422500610352,c(-97.184395, 46.531986),"boxelder","Acer negundo"
"78","375","ND",404,234.399993896484,c(-97.928114, 48.748227),"paper birch","Betula papyrifera"
"79","544","ND",2261,83.3899993896484,c(-102.975351, 47.694344),"green ash","Fraxinus pennsylvanica"
"80","701","ND",448,270.6875,c(-97.313675, 48.077334),"ironwood","Ostrya virginiana"
"81","763","ND",2503,118.459999084473,c(-103.678611, 47.455453),"chokecherry","Prunus virginiana"
"82","766","ND",2207,104.404998779297,c(-102.421050261682, 47.6650040373832),"American plum","Prunus americana"
"83","823","ND",402,130.897491455078,c(-97.738336, 48.765354),"bur oak","Quercus macrocarpa"
"84","920","ND",337,300.794982910156,c(-99.4815374545455, 48.819176),"willow spp.","Salix spp."
"85","921","ND",395,243.355010986328,c(-98.160146283871, 48.6180578193548),"peachleaf willow","Salix amygdaloides"
"86","951","ND",520,138.422500610352,c(-97.184395, 46.531986),"basswood","Tilia americana"
"87","972","ND",2268,126.944999694824,c(-103.117938025641, 47.6792078717949),"American elm","Ulmus americana"
"88","975","ND",2200,134.847503662109,c(-102.215837, 47.55229),"slippery elm","Ulmus rubra"
"89","766","MI",3,157.860000610352,c(-85.5982131594203, 44.3742591376812),"American plum","Prunus americana"
"90","68","KS",348,73.4499969482422,c(-96.092515, 37.598647972973),"eastern redcedar","Juniperus virginiana"
"91","122","KS",362,112.26000213623,c(-95.5697307291667, 38.4611168125),"ponderosa pine","Pinus ponderosa"
"92","313","KS",387,73.995002746582,c(-95.0518091712329, 37.8486250890411),"boxelder","Acer negundo"
"93","462","KS",277,64.2425003051758,c(-95.8897270833333, 37.7183409166667),"hackberry","Celtis occidentalis"
"94","544","KS",348,73.4499969482422,c(-96.092515, 37.598647972973),"green ash","Fraxinus pennsylvanica"
"95","602","KS",348,73.4499969482422,c(-96.092515, 37.598647972973),"black walnut","Juglans nigra"
"96","701","KS",207,122.092498779297,c(-95.72571028, 38.53545692),"ironwood","Ostrya virginiana"
"97","742","KS",329,98.0350036621094,c(-95.0950784285714, 38.5237180588235),"east. cottonwood","Populus deltoides"
"98","763","KS",319,131.520004272461,c(-95.0500431985294, 37.9877357867647),"chokecherry","Prunus virginiana"
"99","766","KS",361,117.76000213623,c(-95.1978415445544, 37.6556618514851),"American plum","Prunus americana"
"100","823","KS",395,76.307502746582,c(-95.016698, 38.011958),"bur oak","Quercus macrocarpa"
"101","920","KS",305,117.014999389648,c(-96.7380723333333, 37.49977),"willow spp.","Salix spp."
"102","921","KS",402,97.3925018310547,c(-95.664832, 38.529296),"peachleaf willow","Salix amygdaloides"
"103","951","KS",274,113.482498168945,c(-97.5862645209581, 38.9197421736527),"basswood","Tilia americana"
"104","972","KS",277,64.2425003051758,c(-95.8897270833333, 37.7183409166667),"American elm","Ulmus americana"
"105","975","KS",294,74.3475036621094,c(-95.2103524210526, 38.3336015263158),"slippery elm","Ulmus rubra"
"106","68","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"eastern redcedar","Juniperus virginiana"
"107","313","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"boxelder","Acer negundo"
"108","375","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"paper birch","Betula papyrifera"
"109","462","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"hackberry","Celtis occidentalis"
"110","544","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"green ash","Fraxinus pennsylvanica"
"111","602","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"black walnut","Juglans nigra"
"112","701","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"ironwood","Ostrya virginiana"
"113","742","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"east. cottonwood","Populus deltoides"
"114","763","IN",98,167.25,c(-86.526281814433, 39.7333877216495),"chokecherry","Prunus virginiana"
"115","766","IN",37,164,c(-85.5529610125523, 39.4896245523013),"American plum","Prunus americana"
"116","823","IN",100,122.75,c(-86.0573515940959, 39.6159789188192),"bur oak","Quercus macrocarpa"
"117","920","IN",223,138,c(-86.1695880833333, 39.1121065138889),"willow spp.","Salix spp."
"118","951","IN",29,90.75,c(-86.5475122884615, 39.3520392371795),"basswood","Tilia americana"
"119","972","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"American elm","Ulmus americana"
"120","975","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"slippery elm","Ulmus rubra"
"121","68","IL",24,87.9524993896484,c(-89.6126217172414, 40.7608166758621),"eastern redcedar","Juniperus virginiana"
"122","313","IL",24,87.9524993896484,c(-89.6126217172414, 40.7608166758621),"boxelder","Acer negundo"
"123","375","IL",51,293.079986572266,c(-89.7626121512195, 39.8494546731707),"paper birch","Betula papyrifera"
"124","462","IL",24,87.9524993896484,c(-89.6126217172414, 40.7608166758621),"hackberry","Celtis occidentalis"
"125","544","IL",24,87.9524993896484,c(-89.6126217172414, 40.7608166758621),"green ash","Fraxinus pennsylvanica"
"126","602","IL",24,87.9524993896484,c(-89.6126217172414, 40.7608166758621),"black walnut","Juglans nigra"
"127","701","IL",9991,136.550003051758,c(-88.663135, 37.5954822727273),"ironwood","Ostrya virginiana"
"128","742","IL",166,165.714996337891,c(-88.1464824, 41.2883294),"east. cottonwood","Populus deltoides"
"129","763","IL",24,87.9524993896484,c(-89.6126217172414, 40.7608166758621),"chokecherry","Prunus virginiana"
"130","766","IL",70,273.234985351562,c(-88.8055889277108, 41.0052566144578),"American plum","Prunus americana"
"131","823","IL",93,155.540008544922,c(-89.6872857268519, 40.3712294537037),"bur oak","Quercus macrocarpa"
"132","921","IL",203,295.945007324219,c(-89.5053599840256, 39.6076065207668),"peachleaf willow","Salix amygdaloides"
"133","951","IL",93,155.540008544922,c(-89.6872857268519, 40.3712294537037),"basswood","Tilia americana"
"134","972","IL",24,87.9524993896484,c(-89.6126217172414, 40.7608166758621),"American elm","Ulmus americana"
"135","975","IL",24,87.9524993896484,c(-89.6126217172414, 40.7608166758621),"slippery elm","Ulmus rubra"
"136","766","MN",336,70.8099975585938,c(-93.99783448, 44.18667156),"American plum","Prunus americana"
